carrier,node,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
carbon,AT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,BE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,BG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,CH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,CZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,DE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,DK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,EE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,EL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,ES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,FI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,FR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,HR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,HU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,IE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,IT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,LT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,LU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,LV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,NL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,PL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,PT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,RO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,SE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,UK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electricity,AT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electricity,BE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electricity,BG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electricity,CH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electricity,CZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electricity,DE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electricity,DK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electricity,EE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electricity,EL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electricity,ES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electricity,FI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electricity,FR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electricity,HR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electricity,HU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electricity,IE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electricity,IT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electricity,LT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electricity,LU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electricity,LV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electricity,NL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electricity,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electricity,PL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electricity,PT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electricity,RO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electricity,SE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electricity,SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electricity,SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electricity,UK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat,AT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat,BE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat,BG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat,CH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat,CZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat,DE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat,DK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat,EE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat,EL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat,ES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat,FI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat,FR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat,HR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat,HU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat,IE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat,IT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat,LT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat,LU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat,LV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat,NL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat,PL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat,PT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat,RO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat,SE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat,SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat,SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat,UK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomass,AT,3.905730228765765,1.930441677335485,8.40443924689387e-08,4.4708556206580236e-08,5.83850737230322e-08,1.097679925647588e-07,2.8128784449577205e-07,0.02879750464594806,0.7260186598452149,0.6568718219499375,0.3706451534591695,2.9788933866040333e-07,3.0815901906849433e-07,0.11912699690770849,1.609329787942354
biomass,BE,0.7264140243782365,0.7024452029249827,1.4597466237706675e-07,4.726418747924171e-08,1.987027143340527e-07,3.2693814323302086e-07,0.06594765929880239,1.87145917344646e-07,0.01671250248538174,0.014730955939890508,0.013979138434879142,2.4607128278306753e-07,2.703534092249834e-07,1.8691416857668208,1.869142912661995
biomass,BG,1.9020908575795026,1.9928269411743357e-07,5.675843827490643e-08,4.7546726076110543e-08,6.296274771709697e-08,1.3429170554133808e-07,0.25972586308806256,0.43626057537418034,0.8402775666705056,0.40434759941209586,0.25400939490050306,0.15352249857937697,0.1535225198898353,0.15352307768117762,0.6890089077888103
biomass,CH,4.765593597842139,2.647181503983089,8.311436998708868e-08,4.454908873200873e-08,5.7351470141686026e-08,1.0501921057270178e-07,2.54237502817671e-07,0.03948949334491788,0.9841638256826541,0.8900044507272777,0.5021920286789194,2.8701630768733773e-07,3.182511073689731e-07,0.16140594230249075,1.6347927572108858
biomass,CZ,3.0299922959879195,2.260219690957093,1.0220454884609827e-07,4.5127129744790534e-08,7.581335313817921e-08,2.2774117313169437e-07,0.37006643125986954,0.650269561488563,0.45452263889670297,0.2675559225599527,0.2316214497612785,0.10827747402023594,0.10827748170851065,0.1082778747681944,0.10827834459316708
biomass,DE,10.856109302793266,8.079598990648732,1.6701238998969216e-07,1.6673435755560752e-07,4.12651954289682,3.149868989498825,3.1498689867740852,1.671849657430325,1.2416419699001808,0.18942868368157423,0.18942805318853967,0.1894281180849361,0.18942813498066238,0.18942960987170204,4.366204696562923
biomass,DK,1.3597697377309896,3.7329000375280875e-08,5.802121309736719e-08,6.715912198853458e-08,6.706070750019562e-08,6.680025565689627e-08,6.677212868901006e-08,7.720060840792213e-08,8.153344975509817e-08,7.974678185182593e-08,8.116885932861884e-08,8.197298698599125e-08,9.064544503815885e-08,1.2512777090432617e-07,3.1818825780454286e-07
biomass,EE,0.39143568546850477,4.2096351980049385e-08,1.0804328513676608e-07,7.004828554282075e-08,8.066605815349734e-08,7.63057258188683e-08,7.610265485678699e-08,8.388951092058712e-08,8.698030315692753e-08,5.6419526160361296e-08,7.836003006972563e-08,5.732388393835098e-08,7.89255883812852e-08,1.0248066551014417e-07,2.6061932799115704e-07
biomass,EL,0.9886589852612452,2.580251310563492e-08,4.097839246984915e-08,4.907853974103384e-08,5.197199741341567e-08,5.358554091711829e-08,5.724532885274582e-08,5.985417086742014e-08,4.9471445555382205e-08,5.61650633241653e-08,6.638304691195182e-08,6.26072401911791e-08,6.618449640468175e-08,9.699264589975614e-08,2.0403391854746337e-07
biomass,ES,2.2247964613815205,5.270379949416414e-08,3.670657038422486e-08,4.512970952392428e-08,0.6141349874022927,0.30030714114905593,0.1311556744783847,0.13115562039253909,0.017491757863310767,9.139995460332026e-08,1.0818491948130752e-07,1.021773438211484e-07,1.119921074601464e-07,1.8659808924546474e-07,3.72149763008007e-07
biomass,FI,1.516629980436835,4.0797066364999427e-08,8.221915667297687e-08,7.873482888535709e-08,8.396930715203584e-08,7.574447668100098e-08,7.576905585809968e-08,8.400279760530926e-08,8.80437252367828e-08,8.971782352825692e-08,9.575096796637619e-08,8.620268780121333e-08,8.622495892129594e-08,1.2590970438993858e-07,3.4102479230165086e-07
biomass,FR,9.685383329541533,0.000585548096669622,5.727650137742742e-08,3.7029332477602036e-08,5.8271987529624813e-08,1.0793999279349293e-07,0.7725318360283763,0.31405114939899026,0.9687024414291633,0.45695321479672174,0.10740788423287623,2.4051473998987035e-07,2.728368203883059e-07,1.7273724758666436,11.381322816688755
biomass,HR,1.7750365165899755,4.5468055682690505e-08,8.481599558905395e-08,1.5579554462410887e-07,3.3316411108030474e-07,2.2067206138800408e-07,1.7183948774415487e-07,1.5465916814620623e-07,1.427048731046158e-07,9.514219473799859e-08,1.4440622206511459e-07,7.541670585997527e-08,9.80352517035884e-08,1.5256603162852685e-07,3.3501797650190123e-07
biomass,HU,2.487569736646045,1.081460667989487e-07,5.181416880503243e-08,3.9654709533847614e-08,4.936754364030274e-08,4.6770115694194304e-08,7.18635137493004e-08,1.6940402124788117e-07,0.10961057975277946,2.0966689833987676e-07,2.572691243345092e-07,2.130935926747361e-07,2.3511953174926803e-07,5.598606921034135e-07,2.4745556748836836e-06
biomass,IE,0.03661806477952151,0.036617966453400236,0.03661772022141034,1.51330618718647e-07,0.02632316755501241,0.011904154261597301,0.006150112826152298,9.661567272340489e-08,1.1646325874907405e-07,1.3439183291958212e-07,1.6171915682648428e-07,1.5015880527477518e-07,1.6632580696901754e-07,3.6849574173207396e-07,2.061107172867587e-06
biomass,IT,11.559899173287619,0.8685786340471348,9.499979898509924e-07,2.0883263750448963e-07,1.777561911823898e-07,1.493696239824573e-07,1.3348814429632212e-07,1.192952606626865e-07,1.1954081861695532e-07,7.910337894943579e-08,8.970976676105558e-08,7.686390447382539e-08,8.40184579519396e-08,1.2882288562042463e-07,2.9011335419964173e-07
biomass,LT,1.094548369149644,4.287129621986801e-08,5.301079601947425e-08,7.067274907483652e-08,6.876498539853176e-08,6.789591744995337e-08,7.092003923615003e-08,7.75229803446354e-08,8.123017950155592e-08,6.635160780357485e-08,7.597753611399089e-08,6.45086126533201e-08,6.852108005604284e-08,1.0466147649402067e-07,2.5386884060294485e-07
biomass,LU,0.1616808274166447,0.018167626673337735,1.265893004770523e-07,4.479420147523891e-08,6.920718170251972e-08,3.6388399343510625e-07,0.00661474263247398,0.003024453936620023,0.14351302619089631,0.14351301264433794,0.12112915467595059,2.2128342817076166e-07,2.563306716444442e-07,2.194839349660994e-06,0.22256475902527464
biomass,LV,0.38112827463247423,3.957902907170267e-08,4.561959962043015e-08,5.5453562993429246e-08,5.641679314780072e-08,5.773249010845855e-08,6.26928994913332e-08,6.702230228915487e-08,7.461329888216643e-08,5.6664142633169327e-08,6.710546277841e-08,5.748500341653181e-08,6.70037966682541e-08,1.0078216450405232e-07,2.4961558599144455e-07
biomass,NL,0.9835645677453252,0.5784492652787295,0.49924266361562175,0.47543097678245944,0.3798139424711343,0.3651653982580903,0.23140284450685486,0.13881725263199204,0.06356947688732588,0.008545193875557506,0.008545139821106334,0.008545078186106357,0.008545119432579065,5.989783483761417e-06,1.3550087291730395e-06
biomass,NO,1.090347028196034e-07,1.324572399864673e-07,1.1524512822029666e-07,1.0798860908206506e-07,9.75177168066566e-08,8.717359783055833e-08,8.23324603272495e-08,8.763160142386136e-08,8.966975482820723e-08,9.606614803605996e-08,1.0009563385564818e-07,9.277020647329311e-08,8.925951864375428e-08,1.285846663097283e-07,3.5359325684779473e-07
biomass,PL,7.655743467099198,6.3691966258295745,6.18538021116744,2.344381148390597,5.695749536234487,4.062091425283157,2.4924675418576896e-05,4.123339165200309e-07,2.5286852503174733e-07,1.0639644880236217e-07,1.506555690920632e-07,6.405816826618788e-08,7.676448096952256e-08,1.239654425054571e-07,2.866019222240203e-07
biomass,PT,0.3205987523193655,6.91676031907e-08,4.1606152403718797e-08,6.301854045101327e-08,0.07342175766235147,0.02899954128920453,0.028999684712101834,0.007949602990337413,0.004619315515930231,1.246269513661608e-07,1.4042683131699984e-07,1.3942011274114162e-07,1.156256517137877e-07,1.808299914147456e-07,3.6960009728097555e-07
biomass,RO,2.154901827681755,1.4180132618333393e-07,5.963104480431783e-08,4.096840038651088e-08,5.626828480700974e-08,8.146124827779317e-08,1.326007750167892e-07,0.2921079949454375,0.20240740005504185,0.1934416208074283,0.19344181802060142,0.15808285230949246,0.15808290960976915,0.15808357116428207,0.25551604910158726
biomass,SE,9.018364909814933e-08,8.830901932223194e-08,8.44354759350086e-08,9.344152641669386e-08,8.518447764080288e-08,7.810096162340872e-08,7.640537402646739e-08,8.725430926397548e-08,9.168687341001397e-08,7.06025092285874e-08,8.154930986223172e-08,6.850330414700396e-08,6.78445988101284e-08,1.152432363918721e-07,3.2702953003330123e-07
biomass,SI,0.662115166050101,3.121478648856222e-07,1.1920831664661172e-07,1.545841991709818e-07,4.1710043345170576e-07,2.591505115840342e-07,1.972957557087418e-07,1.6099412114091932e-07,1.45471648442441e-07,9.502584199864108e-08,1.3594769594951692e-07,8.369232905365531e-08,9.141914057163992e-08,1.4172147388513005e-07,3.2634573584030866e-07
biomass,SK,0.9778298766632746,6.203864462724466e-07,5.617171876892187e-08,3.370786101331702e-08,5.065422345363788e-08,3.32712289499166e-07,0.06465903664332637,0.22355070965306803,0.10130798041167671,0.05512650291625852,0.017676634107441826,2.0778133950119362e-07,2.37621612176967e-07,6.238756444151454e-07,1.3636364607341549e-06
biomass,UK,2.3821461983216143,2.2421190973083978e-07,4.271554795176862e-07,4.069930918132814e-07,2.342044003652336e-07,1.5550609548668898e-07,1.2653796680394486e-07,1.2620315135294352e-07,1.0662174266510136e-07,1.0178181942203885e-07,1.0734903624447522e-07,9.548586816670572e-08,1.0979560010836405e-07,1.3923750560263924e-07,3.650434060286216e-07
district_heat,AT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
district_heat,BE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
district_heat,BG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
district_heat,CH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
district_heat,CZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
district_heat,DE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
district_heat,DK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
district_heat,EE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
district_heat,EL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
district_heat,ES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
district_heat,FI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
district_heat,FR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
district_heat,HR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
district_heat,HU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
district_heat,IE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
district_heat,IT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
district_heat,LT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
district_heat,LU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
district_heat,LV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
district_heat,NL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
district_heat,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
district_heat,PL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
district_heat,PT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
district_heat,RO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
district_heat,SE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
district_heat,SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
district_heat,SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
district_heat,UK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hard_coal,AT,0.4104758651678295,1.8816220593137771,6.84092202034688,7.780112447184017,8.056305367932485,8.527081605938294,9.03911069612781,9.492817557539663,8.190984907234625,8.190985033617832,7.796596142809823,9.019247185474361,5.645387932396495,3.652586376511983,3.3011025126379177
hard_coal,BE,1.0362129427070628,1.9113498484678455,6.74054279099038,7.418571186295858,9.13607891110715,10.213897011266182,10.623165046619349,10.62316527633901,10.524907926753142,10.524906767004113,9.57647344519745,8.764260220191042,4.018715322877643,3.219301111671344,1.5017922748192032
hard_coal,BG,1.3377561668657352,4.2864950926241745,4.6696291884146115,5.103333599182407,5.0622465417393725,5.136880160374451,4.9092276049111065,4.739519318410422,3.9431142092242273,3.9431145744794254,3.4298612401176594,2.0288142236722697,2.4053934954820564,1.4441708186916742,1.1234710629295257
